bird,power_text,mapped_class,mapped_kwargs,power_source,strict_mapped,semantic_tested_word_for_word,smoke_covered,status,notes,row_signature
Coal Tit,"Gain 1 [seed] from the supply and cache it on this card. At any time, you may spend [seed] cached on this card.",backend.powers.templates.cache_food.CacheFoodFromSupply,"{""count"": 1, ""food_type"": ""FoodType.SEED"", ""spendable"": true}",strict,True,True,True,PASS,,fa3eda7758b06a30e1703a6f
Cockatiel,Discard 1 [seed] to choose a [card] from the tray and tuck it behind this bird.,backend.powers.templates.strict.DiscardSeedTuckTrayCard,{},strict,True,True,True,PASS,,39dc41eadb2515f9cb07c5f1
Common Blackbird,"Place this bird sideways, so that it covers 2 [forest] spaces. Pay the lower egg cost.",backend.powers.templates.play_bird.PlaceBirdSideways,{},strict,True,True,True,PASS,,e10d7fd6804126bccb261897
Common Buzzard,"Instead of paying any costs, you may play this bird on top of another bird on your player mat. Discard any eggs and food from that bird. It becomes a tucked card.",backend.powers.templates.play_bird.PlayOnTopPower,{},strict,True,True,True,PASS,,182213103d81853b5e5e7edd
Common Chaffinch,Choose 1-5 birds in this habitat. Tuck 1 [card] from your hand behind each.,backend.powers.templates.strict.ChooseBirdsInHabitatTuckFromHandEach,"{""draw_if_tucked"": 0, ""max_targets"": 5}",strict,True,True,True,PASS,,d28294e50003440fdf317f0b
Common Chiffchaff,Choose 1-5 birds in this habitat. Tuck 1 [card] from your hand behind each.,backend.powers.templates.strict.ChooseBirdsInHabitatTuckFromHandEach,"{""draw_if_tucked"": 0, ""max_targets"": 5}",strict,True,True,True,PASS,,ea0950a5c896115cf5d0191c
Common Cuckoo,"When another player takes the “lay eggs” action, this bird lays 1 [egg] on another bird with a [bowl] or [ground] nest.",backend.powers.templates.strict.PinkLayEggOnTrigger,"{""nest_types"": ""{<NestType.GROUND: 'ground'>, <NestType.BOWL: 'bowl'>}"", ""on_self"": false, ""require_another_bird"": true, ""target_overage"": 0, ""wingspan_lt"": null}",strict,True,True,True,PASS,,0146328059ecdacefa387fe1
Common Goldeneye,Lay 1 [egg] on this bird for each other bird with a [cavity] nest that you have.,backend.powers.templates.strict.LayEggOnSelfPerOtherCavityBird,{},strict,True,True,True,PASS,,78c737f45c58e17a1fef838b
Common Grackle,"Tuck 1 [card] from your hand behind this bird. If you do, you may also lay 1 [egg] on this bird.",backend.powers.templates.tuck_cards.TuckFromHand,"{""draw_count"": 0, ""food_count"": 0, ""food_type"": null, ""lay_count"": 1, ""tuck_count"": 1}",strict,True,True,True,PASS,,a5a129b571386a5b4864ac31
Common Green Magpie,"Gain 1 [invertebrate] or [rodent] from the birdfeeder, if there is one. You may cache it on this bird.",backend.powers.templates.cache_food.CacheFoodFromFeeder,"{""food_type"": ""FoodType.INVERTEBRATE""}",strict,True,True,True,PASS,,41ebd0695173872c36186710
Common Iora,Lay 1 [egg] on another bird in this column.,backend.powers.templates.lay_eggs.LayEggs,"{""all_players"": false, ""count"": 1, ""habitat_filter"": null, ""nest_filter"": null, ""target"": ""any""}",strict,True,True,True,PASS,,d3a5e4d847f6ba6db576fc7e
Common Kingfisher,Steal 1 [fish] from another player's supply and cache it on this bird. They gain 1 [die] from the birdfeeder.,backend.powers.templates.strict.StealSpecificFoodCacheThenTargetGainDieFromFeeder,"{""food_type"": ""FoodType.FISH""}",strict,True,True,True,PASS,,68fbedb0f8e1f35277f33f49
Common Little Bittern,Gain 1 face-up [card] that can live in [grassland].,backend.powers.templates.strict.DrawTrayCardByHabitat,"{""habitat"": ""Habitat.GRASSLAND""}",strict,True,True,True,PASS,,c129bbcc59bec5c9ccf6565c
Common Loon,Player(s) with the fewest birds in their [wetland] draw 1 [card].,backend.powers.templates.draw_cards.DrawCards,"{""all_players"": false, ""draw"": 1, ""keep"": 1}",strict,True,True,True,PASS,,fead1ee4a555a2f0aef1ebc1
Common Merganser,"Roll all dice not in birdfeeder. If any are [fish], cache 1 [fish] from the supply on this bird.",backend.powers.templates.predator.PredatorDice,"{""cache_count"": 1, ""target_food"": ""FoodType.FISH""}",strict,True,True,True,PASS,,2dfacc7f3cf9c05e1e03242c
Common Moorhen,"Discard 1 [wild] from your supply. If you do, play another bird in your [wetland]. Pay its normal food and egg cost.",backend.powers.templates.play_bird.PlayAdditionalBird,"{""egg_discount"": 0, ""food_discount"": 0, ""habitat_filter"": ""Habitat.WETLAND"", ""ignore_habitat"": false}",strict,True,True,True,PASS,,36fe44d2b772138789db72cc
Common Myna,Copy the “When Activated” (brown) power of a bird in the [grassland] of the player on your left.,backend.powers.templates.special.CopyNeighborBrownPower,"{""direction"": ""left"", ""target_habitat"": ""Habitat.GRASSLAND""}",strict,True,True,True,PASS,,0c4269b408e65085e519cc77
Common Nighthawk,"If this bird is to the right of all other birds in its habitat, move it to another habitat.",backend.powers.templates.special.MoveBird,{},strict,True,True,True,PASS,,3ff95f3c0e0c277a04e6d673
Common Nightingale,Choose a food type. All players gain 1 of that food from the supply.,backend.powers.templates.strict.CommonNightingaleChooseFoodAllPlayers,{},strict,True,True,True,PASS,,c9584aa3845c5d4eabdfef52
Common Raven,Discard 1 [egg] from any of your other birds to gain 2 [wild] from the supply.,backend.powers.templates.special.DiscardEggForBenefit,"{""card_gain"": 0, ""egg_cost"": 1, ""food_gain"": 2, ""food_type"": ""FoodType.WILD"", ""require_other_bird"": true}",strict,True,True,True,PASS,,3b81b3a7becb3398a9462b66
Common Sandpiper,Draw 1 [card] for each bird in your [wetland] with an [egg] on it. Keep 1 and discard the rest.,backend.powers.templates.draw_cards.DrawCards,"{""all_players"": false, ""draw"": 1, ""keep"": 1}",strict,True,True,True,PASS,,23d64817dd69fd0e98fe9f11
Common Starling,"Discard up to 5 [wild] from your supply. For each, tuck 1 [card] from the deck behind this bird.",backend.powers.templates.strict.DiscardFoodToTuckFromDeck,"{""food_type"": null, ""max_discard"": 5, ""tuck_per_discard"": 1}",strict,True,True,True,PASS,,0eeb03ad8c0242fb8666eae3
Common Swift,"Discard up to 5 [invertebrate] from your supply. For each, tuck 1 [card] from the deck behind this bird.",backend.powers.templates.strict.DiscardFoodToTuckFromDeck,"{""food_type"": ""FoodType.INVERTEBRATE"", ""max_discard"": 5, ""tuck_per_discard"": 1}",strict,True,True,True,PASS,,f572581db60e488f092e70ab
Common Tailorbird,Find a contiguous group of birds in your preserve that all have the same nest type. Lay 1 [egg] on each of them. [star] nests count as any nest type.,backend.powers.templates.strict.EndGameLayContiguousSameNest,{},strict,True,True,True,PASS,,d00e6bc37403387dfc06608d
Common Teal,"For every 3 [egg] in your [wetland], draw 1 [card] from the deck. You may tuck up to 2 [card] from your hand behind this bird.",backend.powers.templates.strict.PerThreeEggsInHabitatDrawThenTuck,"{""habitat"": ""Habitat.WETLAND"", ""max_tuck"": 2}",strict,True,True,True,PASS,,459472a7750a9e02a5d0df41
Common Yellowthroat,"Draw 2 [card]. If you do, discard 1 [card] from your hand at the end of your turn.",backend.powers.templates.strict.DrawThenEndTurnDiscardFromHand,"{""discard"": 1, ""draw"": 2}",strict,True,True,True,PASS,,e9bcc0fc619ca5e50a033d59
Cooper's Hawk,"Look at a [card] from the deck. If less than 75cm, tuck it behind this bird. If not, discard it.",backend.powers.templates.predator.PredatorLookAt,"{""cache_count"": 0, ""cache_food_type"": null, ""food_cost_includes"": ""set()"", ""habitat_filter"": null, ""wingspan_cmp"": ""lt"", ""wingspan_threshold"": 75}",strict,True,True,True,PASS,,7a66a9d179ac6fc1d402fe1e
Coppersmith Barbet,"Gain 1 [invertebrate] or [fruit] from the birdfeeder, if there is one.",backend.powers.templates.gain_food.GainFoodFromFeeder,"{""count"": 1, ""food_types"": [""FoodType.INVERTEBRATE"", ""FoodType.FRUIT""], ""may_cache"": false}",strict,True,True,True,PASS,,b886599c15f083ed4044890f
Corsican Nuthatch,Draw 1 new bonus card. Then gain 1 [die] from the birdfeeder.,backend.powers.templates.draw_cards.DrawBonusCards,"{""discard_from_all_bonus"": false, ""draw"": 1, ""keep"": 1}",strict,True,True,True,PASS,,827cc8484c26fac287bc60e1
Count Raggi's Bird-of-Paradise,Choose 1 other player. You both gain 1 [fruit] from the supply.,backend.powers.templates.strict_more.ChooseOtherPlayerBothGainFood,"{""count"": 1, ""food_type"": ""FoodType.FRUIT""}",strict,True,True,True,PASS,,339c3157d0b6c634af6b310c
Crested Ibis,"Draw 2 new bonus cards and keep 1. Other players may discard any 2 resources ([wild], [egg], or [card]) to do the same.",backend.powers.templates.strict.SpoonBilledSandpiperDrawBonusOthersMayDiscardTwo,"{""draw"": 2, ""keep"": 1}",strict,True,True,True,PASS,,23de43c5d489fcaddfbb5ac4
Crested Lark,"Discard 1 [seed]. If you do, lay 1 [egg] on this bird.",backend.powers.templates.strict.CrestedLarkDiscardSeedLayEgg,{},strict,True,True,True,PASS,,9b140df81d33ed75cd866554
Crested Pigeon,Cache up to 8 [seed] from your supply on this bird.,backend.powers.templates.strict.EndGameCacheFromSupplyOnSelf,"{""max_count"": 8}",strict,True,True,True,PASS,,09ed95b1f9d54ce55fc95444
Crimson Chat,Discard 1 [wild] to tuck 1 [card] from the deck behind this bird.,backend.powers.templates.strict.DiscardFoodToTuckFromDeck,"{""food_type"": ""FoodType.WILD"", ""max_discard"": 1, ""tuck_per_discard"": 1}",strict,True,True,True,PASS,,5538767ed3f1d1484c7222d7
Dark-Eyed Junco,"Tuck 1 [card] from your hand behind this bird. If you do, gain 1 [seed] from the supply.",backend.powers.templates.tuck_cards.TuckFromHand,"{""draw_count"": 0, ""food_count"": 1, ""food_type"": ""FoodType.SEED"", ""lay_count"": 0, ""tuck_count"": 1}",strict,True,True,True,PASS,,a851bf6dda8a80251c2a4a41
Desert Finch,Lay 1 [egg] on this bird for each other bird in your [grassland].,backend.powers.templates.strict_more.LayEggOnSelfPerOtherBirdInHabitat,"{""habitat"": ""Habitat.GRASSLAND""}",strict,True,True,True,PASS,,126ddd7547c4d5b261424982
Desert Wheatear,"For each bird in your [grassland] with an [egg] on it, roll any 1 [die]. Choose 1 type of food you rolled, and gain 1 of that food from the supply.",backend.powers.templates.strict_more.PerEggedBirdInHabitatRollDieGainFood,"{""habitat"": ""Habitat.GRASSLAND""}",strict,True,True,True,PASS,,fb61b742e421ec71b3097ae4
Dickcissel,"Tuck 1 [card] from your hand behind this bird. If you do, you may also lay 1 [egg] on this bird.",backend.powers.templates.tuck_cards.TuckFromHand,"{""draw_count"": 0, ""food_count"": 0, ""food_type"": null, ""lay_count"": 1, ""tuck_count"": 1}",strict,True,True,True,PASS,,a8e1c0910bd37ce400822eb1
Double-Crested Cormorant,Discard 1 [fish] to tuck 2 [card] from the deck behind this bird.,backend.powers.templates.strict.DiscardFoodToTuckFromDeck,"{""food_type"": ""FoodType.FISH"", ""max_discard"": 1, ""tuck_per_discard"": 2}",strict,True,True,True,PASS,,700eea9e61846402a2888780
Downy Woodpecker,Play an additional bird in your [forest]. Pay its normal cost.,backend.powers.templates.play_bird.PlayAdditionalBird,"{""egg_discount"": 0, ""food_discount"": 0, ""habitat_filter"": ""Habitat.FOREST"", ""ignore_habitat"": false}",strict,True,True,True,PASS,,6876559af12569590835ab2b
Dunnock,"Choose 1 other player. For each action cube on their [grassland], lay 1 [egg] on this bird.",backend.powers.templates.strict.LayEggOnSelfPerOpponentGrasslandCubes,{},strict,True,True,True,PASS,,9de8b438c065bac3dc3a2d24
Eastern Bluebird,Play an additional bird in your [grassland]. Pay its normal cost.,backend.powers.templates.play_bird.PlayAdditionalBird,"{""egg_discount"": 0, ""food_discount"": 0, ""habitat_filter"": ""Habitat.GRASSLAND"", ""ignore_habitat"": false}",strict,True,True,True,PASS,,43700d4f6e190ba772fc96ba
Eastern Imperial Eagle,"For each [rodent] in this bird's cost, you may pay 1 [card] from your hand instead. If you do, tuck the paid [card] behind this card.",backend.powers.templates.unique.TuckToPayCost,{},strict,True,True,True,PASS,,6179bdb5832485aa8cd97821
Eastern Kingbird,"When another player plays a bird in their [forest], gain 1 [invertebrate] from the supply.",backend.powers.templates.strict.PinkGainFoodFromSupplyOnPlayInHabitat,"{""food_type"": ""FoodType.INVERTEBRATE"", ""trigger_habitat"": ""Habitat.FOREST""}",strict,True,True,True,PASS,,332219a863d68c95524e790a
Eastern Phoebe,All players gain 1 [invertebrate] from the supply.,backend.powers.templates.gain_food.GainFoodFromSupply,"{""all_players"": true, ""count"": 1, ""food_types"": [""FoodType.INVERTEBRATE""], ""you_also"": false}",strict,True,True,True,PASS,,2874253d11c370c2bc86f394
Eastern Rosella,All players gain 1 [nectar] from the supply. You also gain 1 [seed] from the supply.,backend.powers.templates.strict.AllPlayersGainFoodThenSelfFoodOrEggBonus,"{""base_count"": 1, ""base_food_type"": ""FoodType.NECTAR"", ""self_egg_bonus"": 0, ""self_food_count"": 1, ""self_food_type"": ""FoodType.SEED""}",strict,True,True,True,PASS,,4b1d08d6690678e2ddb5329c
Eastern Screech-Owl,"Roll all dice not in birdfeeder. If any are [rodent], cache 1 [rodent] from the supply on this bird.",backend.powers.templates.predator.PredatorDice,"{""cache_count"": 1, ""target_food"": ""FoodType.RODENT""}",strict,True,True,True,PASS,,4f7aea567c0d862c720e26ed
Eastern Whipbird,Choose 1 other player. You both gain 1 [seed] from the supply.,backend.powers.templates.strict_more.ChooseOtherPlayerBothGainFood,"{""count"": 1, ""food_type"": ""FoodType.SEED""}",strict,True,True,True,PASS,,2341fd491699f39cc26c9a9f
Eleonora's Falcon,"Roll all dice not in the birdfeeder. If any are [rodent], place 1 [egg] on this card.",backend.powers.templates.predator.PredatorDice,"{""cache_count"": 1, ""target_food"": ""FoodType.RODENT""}",strict,True,True,True,PASS,,dc5a3b615e8b25c818f8d898
Emu,"Gain all [seed] that are in the birdfeeder. Keep half (rounded up), then choose how to distribute the remainder among the other player(s).",backend.powers.templates.strict_more.EmuGainAllSeedKeepHalfDistributeRemainder,{},strict,True,True,True,PASS,,e9669832db47c1782d355e87
Eurasian Collared-Dove,"Discard up to 5 [wild] from your supply. For each, tuck 1 [card] from the deck behind this bird.",backend.powers.templates.strict.DiscardFoodToTuckFromDeck,"{""food_type"": null, ""max_discard"": 5, ""tuck_per_discard"": 1}",strict,True,True,True,PASS,,ef470cc2eabad15edde7c67e
Eurasian Coot,Tuck up to 3 [card] from your hand behind this bird.,backend.powers.templates.tuck_cards.TuckFromHand,"{""draw_count"": 0, ""food_count"": 0, ""food_type"": null, ""lay_count"": 0, ""tuck_count"": 3}",strict,True,True,True,PASS,,f973a69195034282fd191fe8
Eurasian Eagle-Owl,"Up to 3 times, draw 1 [card] from the deck. When you stop, if the birds' total wingspan is less than 110 cm, tuck them behind this bird. If not, discard them.",backend.powers.templates.strict.PushYourLuckDrawByWingspanTotalThenTuck,"{""max_draws"": 3, ""wingspan_threshold"": 110}",strict,True,True,True,PASS,,7069720153eebe55b0c033d5
Eurasian Golden Oriole,"When another player takes the “gain food” action, gain 1 [invertebrate] or [fruit] from the birdfeeder at the end of their turn.",backend.powers.templates.strict.PinkGainFoodFromFeederOnGainFood,"{""food_types"": [""FoodType.INVERTEBRATE"", ""FoodType.FRUIT""]}",strict,True,True,True,PASS,,e332d566fee5d67eb7fc624c
Eurasian Green Woodpecker,"This bird counts double toward the end-of-round goal, if it qualifies for the goal.",backend.powers.templates.unique.CountsDoubleForGoal,{},strict,True,True,True,PASS,,19c416278fa6faa2be6b83b6
Eurasian Hobby,"Instead of paying any costs, you may play this bird on top of another bird on your player mat. Discard any eggs and food from that bird. It becomes a tucked card.",backend.powers.templates.play_bird.PlayOnTopPower,{},strict,True,True,True,PASS,,cc1cff4a5d08cc8e3851a26c
Eurasian Hoopoe,Steal 1 [invertebrate] from each of your neighbors. Each neighbor from whom a [invertebrate] was stolen may gain 1 [wild] from the supply.,backend.powers.templates.gain_food.GainFoodFromSupply,"{""all_players"": false, ""count"": 1, ""food_types"": [""FoodType.INVERTEBRATE"", ""FoodType.WILD""], ""you_also"": false}",strict,True,True,True,PASS,,0ec2b4de974a9ea4c0e3a1f4
Eurasian Jay,Steal 1 [seed] from another player's supply and cache it on this bird. They gain 1 [die] from the birdfeeder.,backend.powers.templates.strict.StealSpecificFoodCacheThenTargetGainDieFromFeeder,"{""food_type"": ""FoodType.SEED""}",strict,True,True,True,PASS,,4131196d0ac8b8ead943e01a
Eurasian Kestrel,"Roll any 3 [die]. If you roll at least 1 [rodent], cache 1 [rodent] on this bird.",backend.powers.templates.predator.PredatorDice,"{""cache_count"": 1, ""target_food"": ""FoodType.RODENT""}",strict,True,True,True,PASS,,372a28f25b9103e47d7a1a06
Eurasian Magpie,"Choose 1 other player. For each action cube on their [grassland], cache 1 [wild] from the supply on any of your birds.",backend.powers.templates.strict.CacheWildOnAnyBirdPerOpponentGrasslandCubes,{},strict,True,True,True,PASS,,5d9b2667e21bea1f6058a42a
Eurasian Marsh-Harrier,"Up to 3 times, draw 1 [card] from the deck. When you stop, if the birds' total wingspan is less than 110 cm, tuck them behind this bird. If not, discard them.",backend.powers.templates.strict.PushYourLuckDrawByWingspanTotalThenTuck,"{""max_draws"": 3, ""wingspan_threshold"": 110}",strict,True,True,True,PASS,,829c2b0d2b93f29c56b90c2a
Eurasian Nutcracker,Choose 1-5 birds in your [forest]. Cache 1 [seed] from your supply on each.,backend.powers.templates.strict.ChooseBirdsInHabitatCacheFoodEach,"{""food_type"": ""FoodType.SEED"", ""max_targets"": 5}",strict,True,True,True,PASS,,0db8a38521c5bae5cfdba9ea
Eurasian Nuthatch,"Gain 1 [seed] from the supply and cache it on this card. At any time, you may spend [seed] cached on this card.",backend.powers.templates.cache_food.CacheFoodFromSupply,"{""count"": 1, ""food_type"": ""FoodType.SEED"", ""spendable"": true}",strict,True,True,True,PASS,,472b9fa4776953f0fbf46e59
Eurasian Sparrowhawk,"For each [rodent] in this bird's cost, you may pay 1 [card] from your hand instead. If you do, tuck the paid [card] behind this card.",backend.powers.templates.unique.TuckToPayCost,{},strict,True,True,True,PASS,,f26f51fd0a35d8fc4b84d223
Eurasian Tree Sparrow,"When another player takes the “gain food” action, gain 1 [seed] from the birdfeeder at the end of their turn.",backend.powers.templates.strict.PinkGainFoodFromFeederOnGainFood,"{""food_types"": [""FoodType.SEED""]}",strict,True,True,True,PASS,,bd00613eca6698c3356fb5e1
Eurasian Treecreeper,"For every 3 [egg] in your [forest], gain 1 [invertebrate] or [seed] from the supply. You may cache up to 2 of them on this bird.",backend.powers.templates.strict.PerThreeEggsInHabitatGainSeedOrInvertThenCache,"{""habitat"": ""Habitat.FOREST"", ""max_cache"": 2}",strict,True,True,True,PASS,,a0b20494b694651253dd912b
European Bee-Eater,"Reset the birdfeeder. If you do, gain 1 [invertebrate] from the birdfeeder after resetting.",backend.powers.templates.gain_food.ResetFeederGainFood,"{""cache"": false, ""food_type"": ""FoodType.INVERTEBRATE""}",strict,True,True,True,PASS,,68913622360aae82d092cc0c
European Goldfinch,"When another player tucks a [card] for any reason, tuck 1 [card] from the deck behind this bird.",backend.powers.templates.strict.PinkTuckFromDeckOnOpponentTuck,{},strict,True,True,True,PASS,,398b44ecc90abceb3b001515
European Honey Buzzard,"Reset the birdfeeder. If you do, gain all [invertebrate] in the birdfeeder after resetting.",backend.powers.templates.gain_food.ResetFeederGainFood,"{""cache"": false, ""food_type"": ""FoodType.INVERTEBRATE""}",strict,True,True,True,PASS,,b0ea1724b0b3b1eabeabcbf4
European Robin,"From the supply, gain 1 food of a type you already gained this turn.",backend.powers.templates.unique.GainFoodMatchingPrevious,{},strict,True,True,True,PASS,,2809f74ef29bba7021f18565
European Roller,"Place this bird sideways, so that it covers 2 [grassland] spaces. Pay the lower egg cost.",backend.powers.templates.play_bird.PlaceBirdSideways,{},strict,True,True,True,PASS,,f51dcad55244f006adeaeed2
European Turtle Dove,"Draw 1 new bonus card. Then gain 1 [die] from the birdfeeder, lay 1 [egg] on any bird, or draw 1 [card].",backend.powers.templates.draw_cards.DrawBonusCards,"{""discard_from_all_bonus"": false, ""draw"": 1, ""keep"": 1}",strict,True,True,True,PASS,,ea18d043051523917040f539
Ferruginous Hawk,"Roll all dice not in birdfeeder. If any are [rodent], cache 1 [rodent] from the supply on this bird.",backend.powers.templates.predator.PredatorDice,"{""cache_count"": 1, ""target_food"": ""FoodType.RODENT""}",strict,True,True,True,PASS,,f2ffb825309f13c610d3a953
Fire-Fronted Serin,Lay 1 [egg] on this bird for each bird to its left in this row.,backend.powers.templates.strict.LayEggOnSelfPerBirdToLeft,{},strict,True,True,True,PASS,,218f97fff64e3ba2ec4aec74
Fish Crow,Discard 1 [egg] from any of your other birds to gain 1 [wild] from the supply.,backend.powers.templates.special.DiscardEggForBenefit,"{""card_gain"": 0, ""egg_cost"": 1, ""food_gain"": 1, ""food_type"": ""FoodType.WILD"", ""require_other_bird"": true}",strict,True,True,True,PASS,,f1fc1f11a31de20ad7d20e89
Forest Owlet,"Choose any 2 [die]. Roll them up to 3 times. Each time, if you roll at least 1 [invertebrate] or [rodent], cache 1 here. If not, stop and return all food cached here this turn.",backend.powers.templates.strict.PushYourLuckPredatorDiceCache,"{""cache_food"": ""FoodType.INVERTEBRATE"", ""cache_per_hit"": 1, ""dice_count"": 2, ""max_rolls"": 3, ""target_foods"": ""{<FoodType.RODENT: 'rodent'>, <FoodType.INVERTEBRATE: 'invertebrate'>}""}",strict,True,True,True,PASS,,d40b96d516835f09840abe51
Forster's Tern,"Draw 1 [card]. If you do, discard 1 [card] from your hand at the end of your turn.",backend.powers.templates.strict.DrawThenEndTurnDiscardFromHand,"{""discard"": 1, ""draw"": 1}",strict,True,True,True,PASS,,4a1b24c29c89c9f17ccacc23
Franklin's Gull,Discard 1 [egg] to draw 2 [card].,backend.powers.templates.special.DiscardEggForBenefit,"{""card_gain"": 2, ""egg_cost"": 1, ""food_gain"": 0, ""food_type"": null, ""require_other_bird"": false}",strict,True,True,True,PASS,,bb0451d0e39b22b97d2a1a44
Galah,"Choose 1 other player. They reset the birdfeeder and gain a [seed], if there is one. You tuck 2 [card] from the deck behind this bird.",backend.powers.templates.strict_more.ChooseOtherPlayerResetFeederGainFoodThenSelfTuck,"{""food_type"": ""FoodType.SEED"", ""tuck_count"": 2}",strict,True,True,True,PASS,,0f7abd4a6b68bc50924623a5
Goldcrest,"Discard 1 [card] from your hand. If you do, play another bird in your [forest]. Pay its normal food and egg cost.",backend.powers.templates.play_bird.PlayAdditionalBird,"{""egg_discount"": 0, ""food_discount"": 0, ""habitat_filter"": ""Habitat.FOREST"", ""ignore_habitat"": false}",strict,True,True,True,PASS,,5a3dd5f7f58c524498e99cf9
Golden Eagle,"Look at a [card] from the deck. If less than 100cm, tuck it behind this bird. If not, discard it.",backend.powers.templates.predator.PredatorLookAt,"{""cache_count"": 0, ""cache_food_type"": null, ""food_cost_includes"": ""set()"", ""habitat_filter"": null, ""wingspan_cmp"": ""lt"", ""wingspan_threshold"": 100}",strict,True,True,True,PASS,,fe61264be06f7e3e9ce17abd
Golden Pheasant,All players lay 2 [egg]. You lay 2 additional [egg].,backend.powers.templates.strict.AllPlayersLayEggsSelfBonus,"{""all_players_count"": 2, ""nest_filter"": null, ""self_bonus_count"": 2, ""self_bonus_must_be_distinct_bird"": false}",strict,True,True,True,PASS,,76604c088353d2ecec75cda4
Golden-Headed Cisticola,Play another bird in your [grassland]. Pay its normal cost with a 1 [egg] discount.,backend.powers.templates.play_bird.PlayAdditionalBird,"{""egg_discount"": 1, ""food_discount"": 0, ""habitat_filter"": ""Habitat.GRASSLAND"", ""ignore_habitat"": false}",strict,True,True,True,PASS,,7526f04fe56939f8a4d88d85
Gould's Finch,"Play a bird. Pay its normal food and egg cost. If it has a “when played” or “game end” power, you may use it.",backend.powers.templates.strict.EndGamePlayBird,"{""egg_discount"": 0, ""habitat_filter"": null}",strict,True,True,True,PASS,,e11b345d17e9e8171fd73ce0
Graceful Prinia,"Discard 1 [egg]. If you do, gain 1 [invertebrate] from the supply.",backend.powers.templates.special.DiscardEggForBenefit,"{""card_gain"": 0, ""egg_cost"": 1, ""food_gain"": 1, ""food_type"": ""FoodType.INVERTEBRATE"", ""require_other_bird"": false}",strict,True,True,True,PASS,,6242258096192cf12c79e5b0
Grandala,"If you laid an [egg] on this bird this turn, tuck 1 [card] from the deck behind this bird.",backend.powers.templates.strict_more.IfEggLaidOnThisBirdThisTurnTuckFromDeck,"{""count"": 1}",strict,True,True,True,PASS,,e180a09535751b81cf7c8684
Grasshopper Sparrow,Lay 1 [egg] on any bird.,backend.powers.templates.lay_eggs.LayEggs,"{""all_players"": false, ""count"": 1, ""habitat_filter"": null, ""nest_filter"": null, ""target"": ""any""}",strict,True,True,True,PASS,,fe09dc998b60653f554fe05d
Gray Catbird,Repeat a brown power on another bird in this habitat.,backend.powers.templates.special.RepeatPower,{},strict,True,True,True,PASS,,631e75a1addef58a0bcbbfce
Gray Wagtail,"If you used all 4 types of action this round, gain 2 [wild] from the supply.",backend.powers.templates.strict.ConditionalAllActionsGainWild,"{""count"": 2}",strict,True,True,True,PASS,,3bd03dfca14b402b6e8fd540
Great Blue Heron,Play an additional bird in your [wetland]. Pay its normal cost.,backend.powers.templates.play_bird.PlayAdditionalBird,"{""egg_discount"": 0, ""food_discount"": 0, ""habitat_filter"": ""Habitat.WETLAND"", ""ignore_habitat"": false}",strict,True,True,True,PASS,,87e4f7b2a416831f901f2c13
Great Cormorant,"You may move 1 [fish] from this bird to your supply. Then, roll any 2 [die]. If any are [fish], cache 1 [fish] on this bird from the supply.",backend.powers.templates.strict.GreatCormorantMoveFishThenOptionalRoll,{},strict,True,True,True,PASS,,da98591c18d16afcb08bf8df
Great Crested Flycatcher,"Gain 1 [invertebrate] from the birdfeeder, if available.",backend.powers.templates.gain_food.GainFoodFromFeeder,"{""count"": 1, ""food_types"": [""FoodType.INVERTEBRATE""], ""may_cache"": false}",strict,True,True,True,PASS,,9842ed869d8afeb2380ea77a
Great Crested Grebe,"Draw 1 [card] for each empty card slot in this row. At the end of your turn, keep 1 and discard the rest.",backend.powers.templates.strict.DrawPerEmptySlotThenKeepOneAtEndTurn,"{""keep"": 1}",strict,True,True,True,PASS,,4f3fad28be01e362a9a22672
Great Egret,Play an additional bird in your [wetland]. Pay its normal cost.,backend.powers.templates.play_bird.PlayAdditionalBird,"{""egg_discount"": 0, ""food_discount"": 0, ""habitat_filter"": ""Habitat.WETLAND"", ""ignore_habitat"": false}",strict,True,True,True,PASS,,5cb1785982399265984ee225
Great Hornbill,All players may tuck a [card] from their hand under a bird in their [forest] and/or cache 1 [fruit] from their supply on a bird in their [forest].,backend.powers.templates.strict.AllPlayersMayTuckAndOrCacheInHabitat,"{""cache_food_type"": ""FoodType.FRUIT"", ""habitat"": ""Habitat.FOREST""}",strict,True,True,True,PASS,,839b604ed34d08e835001a2e
Great Horned Owl,"Look at a [card] from the deck. If less than 100cm, tuck it behind this bird. If not, discard it.",backend.powers.templates.predator.PredatorLookAt,"{""cache_count"": 0, ""cache_food_type"": null, ""food_cost_includes"": ""set()"", ""habitat_filter"": null, ""wingspan_cmp"": ""lt"", ""wingspan_threshold"": 100}",strict,True,True,True,PASS,,d37ebd462919ab85dc13e2b0
Great Indian Bustard,Score 1 of your bonus cards now by caching 1 [seed] from the supply on this bird for each point. Also score it normally at game end.,backend.powers.templates.unique.ScoreBonusCardNow,{},strict,True,True,True,PASS,,7c880de3758ea50640edc62e
Great Spotted Woodpecker,"Gain 1 [invertebrate] or [seed] from the birdfeeder, if there is one.",backend.powers.templates.gain_food.GainFoodFromFeeder,"{""count"": 1, ""food_types"": [""FoodType.INVERTEBRATE"", ""FoodType.SEED""], ""may_cache"": false}",strict,True,True,True,PASS,,d1068b16203f5c468d6989dd
